team,name,display-name,image-url,role
Galatasaray,Uğurcan Çakır,Çakır,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250078452.jpg,goalkeeper
Galatasaray,Batuhan Şen,Şen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250087827.jpg,goalkeeper
Galatasaray,Günay Güvenç,Güvenç,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250073722.jpg,goalkeeper
Galatasaray,Enes Büyük,Büyük,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250177185.jpg,goalkeeper
Galatasaray,Ismail Jakobs,Jakobs,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250117015.jpg,outfield
Galatasaray,Davinson Sánchez,Sánchez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250099374.jpg,outfield
Galatasaray,Eren Elmalı,Elmalı,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250163343.jpg,outfield
Galatasaray,Kaan Ayhan,Ayhan,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250023940.jpg,outfield
Galatasaray,Abdülkerim Bardakcı,Bardakcı,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250043129.jpg,outfield
Galatasaray,Yusuf Kahraman,Kahraman,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250206683.jpg,outfield
Galatasaray,Cihan Akgün,Akgün,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250212907.jpg,outfield
Galatasaray,Wilfried Singo,Singo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250132323.jpg,outfield
Galatasaray,Sacha Boey,Boey,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250136348.jpg,outfield
Galatasaray,Gabriel Sara,Sara,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250199220.jpg,outfield
Galatasaray,Leroy Sané,Sané,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250063984.jpg,outfield
Galatasaray,İlkay Gündoğan,Gündoğan,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250005335.jpg,outfield
Galatasaray,Ahmed Kutucu,Kutucu,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121000.jpg,outfield
Galatasaray,Yáser Asprilla,Asprilla,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250185976.jpg,outfield
Galatasaray,Gökdeniz Gürpüz,Gürpüz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250170129.jpg,outfield
Galatasaray,Lucas Torreira,Torreira,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250118286.jpg,outfield
Galatasaray,Ege Araç,Araç,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250184651.jpg,outfield
Galatasaray,Eyüp Karasu,Karasu,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250212934.jpg,outfield
Galatasaray,Furkan Koçak,Koçak,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200405.jpg,outfield
Galatasaray,Mario Lemina,Lemina,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250134357.jpg,outfield
Galatasaray,Roland Sallai,Sallai,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250065179.jpg,outfield
Galatasaray,Mauro Icardi,Icardi,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250074434.jpg,outfield
Galatasaray,Yunus Akgün,Akgün,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250103764.jpg,outfield
Galatasaray,Victor Osimhen,Osimhen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250132987.jpg,outfield
Galatasaray,Barış Alper Yılmaz,Yılmaz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250158929.jpg,outfield
Galatasaray,Ada Yüzgeç,Yüzgeç,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250207790.jpg,outfield
Galatasaray,Noa Lang,Lang,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250091165.jpg,outfield
Man City,James Trafford,Trafford,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250117515.jpg,goalkeeper
Man City,Marcus Bettinelli,Bettinelli,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250011491.jpg,goalkeeper
Man City,Gianluigi Donnarumma,Donnarumma,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250078922.jpg,goalkeeper
Man City,Rúben Dias,Dias,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250058220.jpg,outfield
Man City,John Stones,Stones,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250064233.jpg,outfield
Man City,Nathan Aké,Aké,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250027008.jpg,outfield
Man City,Marc Guéhi,Guéhi,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250086928.jpg,outfield
Man City,Rayan Aït-Nouri,Aït-Nouri,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250127436.jpg,outfield
Man City,Joško Gvardiol,Gvardiol,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250127284.jpg,outfield
Man City,Abdukodir Khusanov,Khusanov,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250187698.jpg,outfield
Man City,Max Alleyne,Alleyne,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169566.jpg,outfield
Man City,Rico Lewis,Lewis,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139207.jpg,outfield
Man City,Tijjani Reijnders,Reijnders,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121294.jpg,outfield
Man City,Mateo Kovačić,Kovačić,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250023551.jpg,outfield
Man City,Rayan Cherki,Cherki,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250124063.jpg,outfield
Man City,Jeremy Doku,Doku,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250113142.jpg,outfield
Man City,Nico González,Nico,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250123952.jpg,outfield
Man City,Rodri,Rodri,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250082664.jpg,outfield
Man City,Bernardo Silva,Bernardo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250059115.jpg,outfield
Man City,Savinho,Savinho,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250174822.jpg,outfield
Man City,Matheus Nunes,Nunes,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250145803.jpg,outfield
Man City,Nico O’Reilly,O’Reilly,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165221.jpg,outfield
Man City,Phil Foden,Foden,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101534.jpg,outfield
Man City,Omar Marmoush,Marmoush,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139217.jpg,outfield
Man City,Erling Haaland,Haaland,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250103758.jpg,outfield
Man City,Antoine Semenyo,Semenyo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250181717.jpg,outfield
Liverpool,Alisson Becker,Alisson,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250099867.jpg,goalkeeper
Liverpool,Giorgi Mamardashvili,Mamardashvili,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101805.jpg,goalkeeper
Liverpool,Freddie Woodman,Woodman,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250056572.jpg,goalkeeper
Liverpool,Kornel Misciur,Misciur,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201700.jpg,goalkeeper
Liverpool,Bailey Hall,Hall,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201696.jpg,goalkeeper
Liverpool,Joe Gomez,Gomez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250058215.jpg,outfield
Liverpool,Wataru Endo,Endo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250097935.jpg,outfield
Liverpool,Virgil van Dijk,Dijk,https://img.uefa.com/imgml/TP/players/1/2026/324x324/50327420.jpg,outfield
Liverpool,Ibrahima Konaté,Konaté,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250091013.jpg,outfield
Liverpool,Milos Kerkez,Kerkez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250163153.jpg,outfield
Liverpool,Conor Bradley,Bradley,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250135607.jpg,outfield
Liverpool,Andy Robertson,Robertson,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250066157.jpg,outfield
Liverpool,Jeremie Frimpong,Frimpong,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250113276.jpg,outfield
Liverpool,Amara Nallo,Nallo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200268.jpg,outfield
Liverpool,Wellity Lucky,Lucky,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165088.jpg,outfield
Liverpool,Florian Wirtz,Wirtz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139445.jpg,outfield
Liverpool,Dominik Szoboszlai,Szoboszlai,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250104066.jpg,outfield
Liverpool,Alexis Mac Allister,Mac Allister,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172672.jpg,outfield
Liverpool,Curtis Jones,Jones,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250106935.jpg,outfield
Liverpool,Ryan Gravenberch,Gravenberch,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250113001.jpg,outfield
Liverpool,Trey Nyoni,Nyoni,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200248.jpg,outfield
Liverpool,Alexander Isak,Isak,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250089868.jpg,outfield
Liverpool,Mohamed Salah,Salah,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250052469.jpg,outfield
Liverpool,Federico Chiesa,Chiesa,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250090398.jpg,outfield
Liverpool,Cody Gakpo,Gakpo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250096849.jpg,outfield
Liverpool,Hugo Ekitiké,Ekitiké,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250144643.jpg,outfield
Liverpool,Kieran Morrison,Morrison,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250178246.jpg,outfield
Liverpool,Rio Ngumoha,Ngumoha,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250195782.jpg,outfield
