name,display-name,image-url,role
Mike Maignan,Maignan,maignan.webp,goalkeeper
Lorenzo Torriani,Torriani,torriani.webp,goalkeeper
Pietro Terracciano,P. Terracciano,pietro-terracciano.webp,goalkeeper
Davide Bartesaghi,Bartesaghi,bartesaghi.webp,outfield
Fikayo Tomori,Tomori,tomori.webp,outfield
Filippo Terracciano,Terracciano,filippo-terracciano.webp,outfield
Koni De Winter,De Winter,de-winter.webp,outfield
Mario Gila,Gila,gila.webp,outfield
Matteo Gabbia,Gabbia,gabbia.webp,outfield
Pervis Estupiñán,Estupiñán,estupinan.webp,outfield
Sankhoun Diawara,Diawara,diawara.webp,outfield
Strahinja Pavlović,Pavlović,pavlovic.webp,outfield
Adrien Rabiot,Rabiot,rabiot.webp,outfield
Alphadjo Cissè,Cissè,cisse.webp,outfield
Ardon Jashari,Jashari,jashari.webp,outfield
Christian Comotto,Comotto,comotto.webp,outfield
Christian Pulisic,Pulisic,pulisic.webp,outfield
Diego Moreira,Moreira,moreira.webp,outfield
Luka Modrić,Modrić,modric.webp,outfield
Ruben Loftus-Cheek,Loftus-Cheek,loftus-cheek.webp,outfield
Samuele Ricci,Ricci,ricci.webp,outfield
Alexis Saelemaekers,Saelemaekers,saelemaekers.webp,outfield
Youssouf Fofana,Fofana,fofana.webp,outfield
Yunus Musah,Musah,musah.webp,outfield
Christopher Nkunku,Nkunku,nkunku.webp,outfield
Francesco Camarda,Camarda,camarda.webp,outfield
Gonçalo Ramos,Ramos,ramos.webp,outfield
Rafael Leão,Leão,leao.webp,outfield
Samuel Chukwueze,Chukwueze,chukwueze.webp,outfield
Santiago Gimenez,Gimenez,gimenez.webp,outfield
