name,display-name,image-url,role
Juan Musso,Musso,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250137521.jpg,goalkeeper
Jan Oblak,Oblak,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250012069.jpg,goalkeeper
Salvador Esquivel,Esquivel,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164595.jpg,goalkeeper
Mario De Luis,De Luis,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250144232.jpg,goalkeeper
Alvaro Moreno,Moreno,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164599.jpg,goalkeeper
Diego Diaz,Diaz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189141.jpg,goalkeeper
Daniel Rubio,Rubio,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189825.jpg,goalkeeper
Miguel Olarieta,Olarieta,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200688.jpg,goalkeeper
José María Giménez,Giménez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250063505.jpg,outfield
Matteo Ruggeri,Ruggeri,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250127239.jpg,outfield
Clément Lenglet,Lenglet,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250042779.jpg,outfield
Nahuel Molina,Molina,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172673.jpg,outfield
Dávid Hancko,Hancko,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250092668.jpg,outfield
Marc Pubill,Pubill,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250194472.jpg,outfield
Robin Le Normand,Le Normand,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250112513.jpg,outfield
Rayane Belid,Belid,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164587.jpg,outfield
Dani Martinez,Dani Martinez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176826.jpg,outfield
Javier Boñar,Boñar,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250154300.jpg,outfield
Julio Díaz,Julio Díaz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164593.jpg,outfield
Gerónimo Spina,Spina,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189136.jpg,outfield
Iker Luque,Luque,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189149.jpg,outfield
Daniel Muñoz,Muñoz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250171674.jpg,outfield
Romeo Hueso,Hueso,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200685.jpg,outfield
Javier Díaz,Javier Díaz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250171664.jpg,outfield
David Arza,Arza,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176948.jpg,outfield
Diego Perez,Perez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250182788.jpg,outfield
Rodrigo Mendoza,Mendoza,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172343.jpg,outfield
Johnny Cardoso,Cardoso,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250150915.jpg,outfield
Koke,Koke,https://img.uefa.com/imgml/TP/players/1/2026/324x324/1909917.jpg,outfield
Pablo Barrios,Barrios,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139036.jpg,outfield
Álex Baena,Baena,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250106963.jpg,outfield
Thiago Almada,Almada,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250181747.jpg,outfield
Marcos Llorente,Llorente,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250079670.jpg,outfield
Obed Vargas,Vargas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250216944.jpg,outfield
Taufyk Zanzi,Zanzi,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189128.jpg,outfield
David Fernandez,Fernandez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200682.jpg,outfield
Ruben Gomez,Gomez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200684.jpg,outfield
Antoine Griezmann,Griezmann,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250019498.jpg,outfield
Alexander Sørloth,Sørloth,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250061361.jpg,outfield
Julián Alvarez,Alvarez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172668.jpg,outfield
Giuliano Simeone,Simeone,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250153634.jpg,outfield
Ademola Lookman,Lookman,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250099258.jpg,outfield
Nicolás González,González,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250137525.jpg,outfield
Jorge Rajado,Rajado,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176946.jpg,outfield
Sergio Esteban,Esteban,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250192150.jpg,outfield
Jesus Barrios,J. Barrios,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200678.jpg,outfield
Miguel Llorente,Miguel,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250190790.jpg,outfield
