name,display-name,image-url,role
Éder Aller,Aller,aller.webp,goalkeeper
Joan Anaya,Anaya,anaya.webp,outfield
Alexis Olmedo,Olmedo,olmedo.webp,outfield
Álvaro Cortés,Cortés,cortes.webp,outfield
Patricio Pacífico,Pacífico,pacifico.webp,outfield
Alex Walton,Walton,walton.webp,outfield
Jofre Torrents,Jofre,jofre.webp,outfield
David Oduro,Oduro,oduro.webp,outfield
Xavi Espart,Espart,espart.webp,outfield
Landry Farré,Landry,farre.webp,outfield
Roger Martínez,Roger,roger.webp,outfield
Brian Fariñas,Fariñas,farinas.webp,outfield
Guille Fernández,Guille,guille.webp,outfield
Tommy Marqués,Tommy,tommy.webp,outfield
Juan Hernández,Juan,juan.webp,outfield
Ibrahim Diarra,Diarra,diarra.webp,outfield
Toni Fernández,Toni,toni.webp,outfield
Abdul Aziz Issah,Aziz,issah.webp,outfield
