name,display-name,image-url,role
Gemma Font,Gemma,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250114726.jpg,goalkeeper
Cata Coll,Coll,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250097201.jpg,goalkeeper
Txell Font,Txell Font,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250155398.jpg,goalkeeper
Irene Paredes,Paredes,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250007458.jpg,outfield
Mapi León,Mapi León,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250041350.jpg,outfield
Laia Aleixandri,Aleixandri,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250081851.jpg,outfield
Marta Torrejón,Torrejón,https://img.uefa.com/imgml/TP/players/28/2026/324x324/105680.jpg,outfield
Ona Batlle,Batlle,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250081852.jpg,outfield
Aïcha Camara,Camara,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250178960.jpg,outfield
Iara Lobo,Lobo,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250183168.jpg,outfield
Lúa Arufe,Arufe,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250185747.jpg,outfield
María Barrera,Barrera,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250207210.jpg,outfield
Adriana Ranera,Ranera,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250165698.jpg,outfield
Martina González,Martina,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250183095.jpg,outfield
Alexia Putellas,Putellas,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250014179.jpg,outfield
Patri Guijarro,Patri,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250058203.jpg,outfield
Aitana Bonmatí,Bonmatí,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250065581.jpg,outfield
Clara Serrajordi,Serrajordi,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250192360.jpg,outfield
Vicky López,Vicky,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250165703.jpg,outfield
Rosalía Domínguez,Domínguez,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250185749.jpg,outfield
Noah Bezis,Bezis,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250166446.jpg,outfield
Martine Fenger,Fenger,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250180335.jpg,outfield
Ainoa Gómez,Gómez,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250183096.jpg,outfield
Carla Juliá,Juliá,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250214836.jpg,outfield
Sydney Schertenleib,Sydney,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250179162.jpg,outfield
Salma Paralluelo,Paralluelo,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250117796.jpg,outfield
Clàudia Pina,Pina,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250101503.jpg,outfield
Caroline Graham Hansen,Hansen,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250017153.jpg,outfield
Ewa Pajor,Pajor,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250027429.jpg,outfield
Kika Nazareth,Nazareth,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250125142.jpg,outfield
Esmee Brugts,Brugts,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250126826.jpg,outfield
Celia Segura,Segura,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250178959.jpg,outfield
Laia Martret,Martret,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250165702.jpg,outfield
Natalia Escot,Escot,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250185752.jpg,outfield
