name,display-name,image-url,role
Marc-André ter Stegen,Ter Stegen,ter-stegen.webp,goalkeeper
Joan García,Joan García,joan-garcia.webp,goalkeeper
Wojciech Szczesny,Szczesny,szczesny.webp,goalkeeper
Alejandro Balde,Balde,balde.webp,outfield
Ronald Araujo,Araujo,araujo.webp,outfield
Pau Cubarsí,Cubarsí,cubarsi.webp,outfield
Andreas Christensen,Christensen,christensen.webp,outfield
Gerard Martín,Martín,martin.webp,outfield
Jules Koundé,Koundé,kounde.webp,outfield
Eric García,Eric,eric.webp,outfield
Héctor Fort,Fort,fort.webp,outfield
Gavi,Gavi,gavi.webp,outfield
Pedri,Pedri,pedri.webp,outfield
Fermín López,Fermín,fermin.webp,outfield
Marc Casadó,Casadó,casado.webp,outfield
Dani Olmo,Olmo,olmo.webp,outfield
Frenkie de Jong,De Jong,de-jong.webp,outfield
Marc Bernal,Bernal,bernal.webp,outfield
Ferran Torres,Ferran,ferran.webp,outfield
Lamine Yamal,Yamal,yamal.webp,outfield
Raphinha,Raphinha,raphinha.webp,outfield
Roony Bardghji,Bardghji,bardghji.webp,outfield
Anthony Gordon,Gordon,gordon.webp,outfield
