name,display-name,image-url,role
Alisson,Alisson,,goalkeeper
Bento,Bento,,goalkeeper
Ederson,Ederson,,goalkeeper
Bremer,Bremer,,outfield
Danilo,Danilo,,outfield
Wesley Franca,Franca,,outfield
Roger Ibanez,Ibanez,,outfield
Gabriel Magalhaes,Gabriel,,outfield
Marquinhos,Marquinhos,,outfield
Leo Pereira,Leo Pereira,,outfield
Alex Sandro,Alex Sandro,,outfield
Douglas Santos,Douglas,,outfield
Casemiro,Casemiro,,outfield
Fabinho,Fabinho,,outfield
Gabriel Sara,Sara,,outfield
Andrey Santos,Andrey,,outfield
Matheus Cunha,Cunha,,outfield
Endrick,Endrick,,outfield
Joao Pedro,Joao Pedro,,outfield
Vinicius Junior,Vinicius,,outfield
Luiz Henrique,LuizHenrique,,outfield
Gabriel Martinelli,Martinelli,,outfield
Raphinha,Raphinha,,outfield
Rayan,Rayan,,outfield
Richarlison,Richarlison,,outfield
Igor Thiago,Igor Thiago,,outfield
