name,display-name,image-url,role
Brice Samba,Samba,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250059123.jpg,goalkeeper
Mike Maignan,Maignan,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250042780.jpg,goalkeeper
Lucas Chevalier,Chevalier,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250135068.jpg,goalkeeper
Malo Gusto,Gusto,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250134145.jpg,outfield
Lucas Digne,Digne,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250014002.jpg,outfield
Dayot Upamecano,Upamecano,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250079545.jpg,outfield
Jules Koundé,Koundé,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250096309.jpg,outfield
Benjamin Pavard,Pavard,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250081921.jpg,outfield
Ibrahima Konaté,Konaté,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250091013.jpg,outfield
William Saliba,Saliba,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250127439.jpg,outfield
Lucas Hernández,L. Hernández,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250063803.jpg,outfield
Theo Hernández,T. Hernández,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250076126.jpg,outfield
Khephren Thuram,K. Thuram,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250106722.jpg,outfield
Eduardo Camavinga,Camavinga,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250128270.jpg,outfield
Manu Koné,Koné,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250132062.jpg,outfield
Aurélien Tchouaméni,Tchouaméni,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250105244.jpg,outfield
Michael Olise,Olise,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250171184.jpg,outfield
Désiré Doué,Doué,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250162177.jpg,outfield
N'Golo Kanté,Kanté,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250097248.jpg,outfield
Adrien Rabiot,Rabiot,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250053905.jpg,outfield
Rayan Cherki,Cherki,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250124063.jpg,outfield
Warren Zaïre-Emery,Zaïre-Emery,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250153849.jpg,outfield
Ousmane Dembélé,Dembélé,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250066886.jpg,outfield
Christopher Nkunku,Nkunku,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250076654.jpg,outfield
Kingsley Coman,Coman,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250054949.jpg,outfield
Florian Thauvin,Thauvin,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250050319.jpg,outfield
Hugo Ekitiké,Ekitiké,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250144643.jpg,outfield
Marcus Thuram,M. Thuram,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250068805.jpg,outfield
Kylian Mbappé,Mbappé,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250076574.jpg,outfield
Maghnes Akliouche,Akliouche,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250160436.jpg,outfield
Jean-Philippe Mateta,Mateta,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250106635.jpg,outfield
Bradley Barcola,Barcola,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250134138.jpg,outfield
