name,display-name,image-url,role
Uğurcan Çakır,Çakır,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250078452.jpg,goalkeeper
Batuhan Şen,Şen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250087827.jpg,goalkeeper
Günay Güvenç,Güvenç,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250073722.jpg,goalkeeper
Enes Büyük,Büyük,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250177185.jpg,goalkeeper
Ismail Jakobs,Jakobs,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250117015.jpg,outfield
Davinson Sánchez,Sánchez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250099374.jpg,outfield
Eren Elmalı,Elmalı,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250163343.jpg,outfield
Kaan Ayhan,Ayhan,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250023940.jpg,outfield
Abdülkerim Bardakcı,Bardakcı,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250043129.jpg,outfield
Yusuf Kahraman,Kahraman,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250206683.jpg,outfield
Cihan Akgün,Akgün,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250212907.jpg,outfield
Wilfried Singo,Singo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250132323.jpg,outfield
Sacha Boey,Boey,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250136348.jpg,outfield
Gabriel Sara,Sara,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250199220.jpg,outfield
Leroy Sané,Sané,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250063984.jpg,outfield
İlkay Gündoğan,Gündoğan,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250005335.jpg,outfield
Ahmed Kutucu,Kutucu,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121000.jpg,outfield
Yáser Asprilla,Asprilla,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250185976.jpg,outfield
Gökdeniz Gürpüz,Gürpüz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250170129.jpg,outfield
Lucas Torreira,Torreira,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250118286.jpg,outfield
Ege Araç,Araç,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250184651.jpg,outfield
Eyüp Karasu,Karasu,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250212934.jpg,outfield
Furkan Koçak,Koçak,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200405.jpg,outfield
Mario Lemina,Lemina,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250134357.jpg,outfield
Roland Sallai,Sallai,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250065179.jpg,outfield
Mauro Icardi,Icardi,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250074434.jpg,outfield
Yunus Akgün,Akgün,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250103764.jpg,outfield
Victor Osimhen,Osimhen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250132987.jpg,outfield
Barış Alper Yılmaz,Yılmaz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250158929.jpg,outfield
Ada Yüzgeç,Yüzgeç,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250207790.jpg,outfield
Noa Lang,Lang,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250091165.jpg,outfield
