name,display-name,image-url,role
Ármin Pécsi,Pécsi,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250168556.jpg,goalkeeper
Dénes Dibusz,Dibusz,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250040465.jpg,goalkeeper
Patrik Demjén,Demjén,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250065166.jpg,goalkeeper
Balázs Tóth,Balázs Tóth,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250087779.jpg,goalkeeper
Péter Szappanos,Szappanos,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250021965.jpg,goalkeeper
Attila Osváth,Osváth,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250087296.jpg,outfield
Attila Mocsi,Mocsi,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250107349.jpg,outfield
Botond Balogh,Balogh,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250118984.jpg,outfield
Attila Szalai,Szalai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250079300.jpg,outfield
Gábor Szalai,G. Szalai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250185815.jpg,outfield
Willi Orbán,Orbán,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250051754.jpg,outfield
Loïc Négo,Négo,https://img.uefa.com/imgml/TP/players/17/2026/324x324/1908198.jpg,outfield
Milos Kerkez,Kerkez,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250163153.jpg,outfield
Bendegúz Bolla,Bolla,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250110986.jpg,outfield
Márton Dárdai,M. Dárdai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250123798.jpg,outfield
Ádám Nagy,Á. Nagy,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250083472.jpg,outfield
Dániel Gazdag,Gazdag,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250056177.jpg,outfield
Tamás Nikitscher,Nikitscher,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250131992.jpg,outfield
Áron Csongvai,Csongvai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250155120.jpg,outfield
Bence Ötvös,Ötvös,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250174408.jpg,outfield
Milán Vitális,Vitális,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250126069.jpg,outfield
Dominik Szoboszlai,Szoboszlai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250104066.jpg,outfield
András Schäfer,Schäfer,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250115077.jpg,outfield
Callum Styles,Styles,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250171195.jpg,outfield
Zsolt Nagy,Z. Nagy,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250138421.jpg,outfield
Bence Dardai,B. Dardai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250180785.jpg,outfield
Alex Tóth,A. Tóth,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250183034.jpg,outfield
Zsombor Gruber,Gruber,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250156919.jpg,outfield
Rajmund Molnár,Molnár,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250118996.jpg,outfield
Barna Tóth,Barna Tóth,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250187264.jpg,outfield
Dániel Lukács,Lukács,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250120385.jpg,outfield
Barnabás Varga,Varga,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250183450.jpg,outfield
Roland Sallai,Sallai,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250065179.jpg,outfield
Damir Redzic,Redzic,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250141424.jpg,outfield
