name,display-name,image-url,role
Gianluigi Donnarumma,Donnarumma,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250078922.jpg,goalkeeper
Alex Meret,Meret,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250066753.jpg,goalkeeper
Marco Carnesecchi,Carnesecchi,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250105612.jpg,goalkeeper
Guglielmo Vicario,Vicario,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250178594.jpg,goalkeeper
Davide Zappacosta,Zappacosta,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250064232.jpg,outfield
Raoul Bellanova,Bellanova,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250091828.jpg,outfield
Federico Dimarco,Dimarco,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250056189.jpg,outfield
Alessandro Buongiorno,Buongiorno,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250088491.jpg,outfield
Leonardo Spinazzola,Spinazzola,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250020885.jpg,outfield
Federico Gatti,Gatti,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250172907.jpg,outfield
Destiny Udogie,Udogie,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250128956.jpg,outfield
Matteo Gabbia,Gabbia,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250091198.jpg,outfield
Riccardo Calafiori,Calafiori,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250113392.jpg,outfield
Daniele Rugani,Rugani,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250024963.jpg,outfield
Luca Ranieri,Ranieri,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250135208.jpg,outfield
Andrea Cambiaso,Cambiaso,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250163623.jpg,outfield
Diego Coppola,Coppola,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250166173.jpg,outfield
Alessandro Bastoni,Bastoni,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250091199.jpg,outfield
Giovanni Di Lorenzo,Di Lorenzo,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250064229.jpg,outfield
Gianluca Mancini,Mancini,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250075982.jpg,outfield
Manuel Locatelli,Locatelli,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250066747.jpg,outfield
Samuele Ricci,Ricci,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250117839.jpg,outfield
Nicolò Rovella,Rovella,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250118783.jpg,outfield
Davide Frattesi,Frattesi,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250088150.jpg,outfield
Sandro Tonali,Tonali,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250117809.jpg,outfield
Cesare Casadei,Casadei,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250139156.jpg,outfield
Bryan Cristante,Cristante,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250041741.jpg,outfield
Riccardo Orsolini,Orsolini,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250112400.jpg,outfield
Nicolò Barella,Barella,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250066739.jpg,outfield
Nicolò Cambiaghi,Cambiaghi,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250135467.jpg,outfield
Matteo Politano,Politano,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250050381.jpg,outfield
Mateo Retegui,Retegui,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250183519.jpg,outfield
Giacomo Raspadori,Raspadori,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250105617.jpg,outfield
Roberto Piccoli,Piccoli,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250107691.jpg,outfield
Gianluca Scamacca,Scamacca,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250076743.jpg,outfield
Moise Kean,Kean,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250087919.jpg,outfield
Pio Esposito,Esposito,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250163404.jpg,outfield
Lorenzo Lucca,Lucca,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250164476.jpg,outfield
Mattia Zaccagni,Zaccagni,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250150875.jpg,outfield
Daniel Maldini,Maldini,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250144618.jpg,outfield
