name,display-name,image-url,role
Alisson Becker,Alisson,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250099867.jpg,goalkeeper
Giorgi Mamardashvili,Mamardashvili,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101805.jpg,goalkeeper
Freddie Woodman,Woodman,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250056572.jpg,goalkeeper
Kornel Misciur,Misciur,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201700.jpg,goalkeeper
Bailey Hall,Hall,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201696.jpg,goalkeeper
Joe Gomez,Gomez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250058215.jpg,outfield
Wataru Endo,Endo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250097935.jpg,outfield
Virgil van Dijk,Dijk,https://img.uefa.com/imgml/TP/players/1/2026/324x324/50327420.jpg,outfield
Ibrahima Konaté,Konaté,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250091013.jpg,outfield
Milos Kerkez,Kerkez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250163153.jpg,outfield
Conor Bradley,Bradley,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250135607.jpg,outfield
Andy Robertson,Robertson,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250066157.jpg,outfield
Jeremie Frimpong,Frimpong,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250113276.jpg,outfield
Amara Nallo,Nallo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200268.jpg,outfield
Wellity Lucky,Lucky,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165088.jpg,outfield
Florian Wirtz,Wirtz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139445.jpg,outfield
Dominik Szoboszlai,Szoboszlai,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250104066.jpg,outfield
Alexis Mac Allister,Mac Allister,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172672.jpg,outfield
Curtis Jones,Jones,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250106935.jpg,outfield
Ryan Gravenberch,Gravenberch,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250113001.jpg,outfield
Trey Nyoni,Nyoni,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200248.jpg,outfield
Alexander Isak,Isak,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250089868.jpg,outfield
Mohamed Salah,Salah,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250052469.jpg,outfield
Federico Chiesa,Chiesa,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250090398.jpg,outfield
Cody Gakpo,Gakpo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250096849.jpg,outfield
Hugo Ekitiké,Ekitiké,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250144643.jpg,outfield
Kieran Morrison,Morrison,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250178246.jpg,outfield
Rio Ngumoha,Ngumoha,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250195782.jpg,outfield
Jayden Danns,Danns,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165085.jpg,outfield
