name,display-name,image-url,role
James Trafford,Trafford,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250117515.jpg,goalkeeper
Marcus Bettinelli,Bettinelli,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250011491.jpg,goalkeeper
Gianluigi Donnarumma,Donnarumma,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250078922.jpg,goalkeeper
Rúben Dias,Dias,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250058220.jpg,outfield
John Stones,Stones,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250064233.jpg,outfield
Nathan Aké,Aké,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250027008.jpg,outfield
Marc Guéhi,Guéhi,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250086928.jpg,outfield
Rayan Aït-Nouri,Aït-Nouri,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250127436.jpg,outfield
Joško Gvardiol,Gvardiol,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250127284.jpg,outfield
Abdukodir Khusanov,Khusanov,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250187698.jpg,outfield
Max Alleyne,Alleyne,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169566.jpg,outfield
Rico Lewis,Lewis,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139207.jpg,outfield
Tijjani Reijnders,Reijnders,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121294.jpg,outfield
Mateo Kovačić,Kovačić,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250023551.jpg,outfield
Rayan Cherki,Cherki,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250124063.jpg,outfield
Jeremy Doku,Doku,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250113142.jpg,outfield
Nico González,Nico,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250123952.jpg,outfield
Rodri,Rodri,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250082664.jpg,outfield
Bernardo Silva,Bernardo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250059115.jpg,outfield
Savinho,Savinho,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250174822.jpg,outfield
Matheus Nunes,Nunes,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250145803.jpg,outfield
Nico O’Reilly,O’Reilly,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250165221.jpg,outfield
Phil Foden,Foden,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101534.jpg,outfield
Omar Marmoush,Marmoush,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139217.jpg,outfield
Erling Haaland,Haaland,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250103758.jpg,outfield
Antoine Semenyo,Semenyo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250181717.jpg,outfield
