name,display-name,image-url,role
Albert Mills,Mills,,outfield
Amir Ibragimov,Ibragimov,,outfield
Ashton Missin,Missin,,outfield
Bendito Mantato,Mantato,,outfield
Cameron Byrne-Hughes,Byrne-Hughes,,goalkeeper
Daniel Armer,Armer,,outfield
Dante Plunkett,Plunkett,,outfield
Elyh Harrison,Harrison,,goalkeeper
Enzo Kana-Biyik,Kana-Biyik,,outfield
Ethan Ennis,Ennis,,outfield
Ethan Williams,Williams,,outfield
Finley McAllister,McAllister,,outfield
Fred Heath,Heath,,goalkeeper
Gabriele Biancheri,Biancheri,,outfield
Godwill Kukonki,Kukonki,,outfield
Habeeb Ogunneye,Ogunneye,,outfield
Jack Moorhouse,Moorhouse,,outfield
Jacob Devaney,Devaney,,outfield
Jacob Watson,Watson,,outfield
James Bailey,Bailey,,outfield
James Scanlon,Scanlon,,outfield
Jariyah Shah,Shah,,outfield
Jay McEvoy,McEvoy,,outfield
Jayce Fitzgerald,Fitzgerald,,outfield
Jaydan Kamason,Kamason,,outfield
Jim Thwaites,Thwaites,,outfield
Louie Bradbury,Bradbury,,outfield
Malachi Sharpe,Sharpe,,outfield
Nathaniel Junior Brown,Brown,,outfield
Neithan Barbosa,Barbosa,,outfield
Rafe McCormack,McCormack,,outfield
Reece Munro,Munro,,outfield
Samuel Lusale,Lusale,,outfield
Sekou Kone,Kone,,outfield
Shea Lacey,Lacey,,outfield
Sonny Aljofree,Aljofree,,outfield
Victor Musa,Musa,,outfield
William Murdock,Murdock,,goalkeeper
Yuel Helafu,Helafu,,outfield
Zachary Watson,Z. Watson,,goalkeeper
Zachary Watson,J. Watson,,outfield
Dermot Mee,Mee,,goalkeeper
Jayden Ngwashi,Ngwashi,,outfield
Noah Ajayi,Ajayi,,outfield
Chido Obi,Obi,,outfield
JJ Gabriel,Gabriel,,outfield
Jack Fletcher,J. Fletcher,,outfield
Tyler Fletcher,T. Fletcher,,outfield
Diego Leon,Leon,,outfield
