name,display-name,image-url,role
Kjell Scherpen,Scherpen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250123304.jpg,goalkeeper
Bart Verbruggen,Verbruggen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250160574.jpg,goalkeeper
Robin Roefs,Roefs,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250128450.jpg,goalkeeper
Nick Olij,Olij,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250046909.jpg,goalkeeper
Mark Flekken,Flekken,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250167143.jpg,goalkeeper
Lutsharel Geertruida,Geertruida,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250104075.jpg,outfield
Jurriën Timber,J. Timber,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250101728.jpg,outfield
Virgil van Dijk,van Dijk,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327420.jpg,outfield
Nathan Aké,Aké,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250027008.jpg,outfield
Stefan de Vrij,de Vrij,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327428.jpg,outfield
Matthijs de Ligt,de Ligt,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327424.jpg,outfield
Jeremie Frimpong,Frimpong,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250113276.jpg,outfield
Jan Paul van Hecke,van Hecke,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250171264.jpg,outfield
Micky van de Ven,van de Ven,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327427.jpg,outfield
Jorrel Hato,Hato,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250164725.jpg,outfield
Quilindschy Hartman,Hartman,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250147956.jpg,outfield
Denzel Dumfries,Dumfries,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250112690.jpg,outfield
Xavi Simons,Simons,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250128451.jpg,outfield
Ryan Gravenberch,Gravenberch,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250113001.jpg,outfield
Quinten Timber,Q. Timber,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250101727.jpg,outfield
Tijjani Reijnders,Reijnders,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250121294.jpg,outfield
Jerdy Schouten,Schouten,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250172787.jpg,outfield
Sem Steijn,Steijn,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250174850.jpg,outfield
Mats Wieffer,Wieffer,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250177878.jpg,outfield
Teun Koopmeiners,Koopmeiners,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250081553.jpg,outfield
Frenkie de Jong,de Jong,https://img.uefa.com/imgml/TP/players/17/2026/324x324/50327423.jpg,outfield
Luciano Valente,Valente,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250208803.jpg,outfield
Emmanuel Emegha,Emegha,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250167011.jpg,outfield
Wout Weghorst,Weghorst,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250078682.jpg,outfield
Memphis Depay,Depay,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250024860.jpg,outfield
Cody Gakpo,Gakpo,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250096849.jpg,outfield
Noa Lang,Lang,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250091165.jpg,outfield
Donyell Malen,Malen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250081555.jpg,outfield
Justin Kluivert,Kluivert,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250087443.jpg,outfield
Brobbey,Brobbey,,outfield
