name,display-name,image-url,role
Alessandro Longoni,Longoni,longoni.webp,goalkeeper
Lucas Chevalier,Chevalier,chevalier.webp,goalkeeper
Matvey Safonov,Safonov,safonov.webp,goalkeeper
Achraf Hakimi,Hakimi,hakimi.webp,outfield
Lucas Beraldo,Beraldo,beraldo.webp,outfield
Marquinhos,Marquinhos,marquinhos.webp,outfield
Illia Zabarnyi,Zabarnyi,zabarnyi.webp,outfield
Lucas Digne,Digne,digne.webp,outfield
Lucas Hernandez,Hernandez,hernandez.webp,outfield
Nuno Mendes,Mendes,mendes.webp,outfield
Willian Pacho,Pacho,pacho.webp,outfield
Fabián Ruiz,Fabián,fabian.webp,outfield
Maghnes Akliouche,Akliouche,akliouche.webp,outfield
Vitinha,Vitinha,vitinha.webp,outfield
Mika Godts,Godts,,outfield
Dro Fernández,Dro,dro.webp,outfield
Warren Zaïre-Emery,Zaïre-Emery,zaire-emery.webp,outfield
João Neves,Neves,neves.webp,outfield
Khvicha Kvaratskhelia,Kvaratskhelia,kvaratskhelia.webp,outfield
Ferran Torres,Ferran,,outfield
Ousmane Dembélé,Dembélé,dembele.webp,outfield
Désiré Doué,Doué,doue.webp,outfield
Senny Mayulu,Mayulu,mayulu.webp,outfield
Bradley Barcola,Barcola,barcola.webp,outfield
Quentin Ndjantou,Ndjantou,ndjantou.webp,outfield
Ibrahim Mbaye,Mbaye,mbaye.webp,outfield
