name,display-name,image-url,role
Thibaut Courtois,Courtois,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250011668.jpg,goalkeeper
Andriy Lunin,Lunin,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250089824.jpg,goalkeeper
Fran González,González,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176532.jpg,goalkeeper
Javier Navarro,Navarro,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201421.jpg,goalkeeper
Dani Carvajal,Carvajal,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250024448.jpg,outfield
Éder Militão,Militão,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121965.jpg,outfield
David Alaba,Alaba,https://img.uefa.com/imgml/TP/players/1/2026/324x324/1906540.jpg,outfield
Trent Alexander-Arnold,Trent,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250076357.jpg,outfield
Raúl Asencio,Asencio,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250153617.jpg,outfield
Álvaro Carreras,Carreras,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250153945.jpg,outfield
Fran García,Fran García,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250091175.jpg,outfield
Antonio Rüdiger,Rüdiger,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250028211.jpg,outfield
Ferland Mendy,Mendy,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250112803.jpg,outfield
Dean Huijsen,Huijsen,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250194474.jpg,outfield
Diego Aguado,Aguado,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250193232.jpg,outfield
Jesus Fortea,Fortea,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250179703.jpg,outfield
David Jiménez,Jiménez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164220.jpg,outfield
Joan Martínez,Martínez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250191276.jpg,outfield
Victor Valdepeñas,Valdepeñas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250201436.jpg,outfield
Mario Rivas,Rivas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250193666.jpg,outfield
Jude Bellingham,Bellingham,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250128377.jpg,outfield
Eduardo Camavinga,Camavinga,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250128270.jpg,outfield
Federico Valverde,Valverde,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101284.jpg,outfield
Aurélien Tchouaméni,Tchouaméni,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250105244.jpg,outfield
Arda Güler,Güler,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250161881.jpg,outfield
Dani Ceballos,Ceballos,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250086709.jpg,outfield
Jorge Cestero,Cestero,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189623.jpg,outfield
Pol Fortuny,Fortuny,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250172342.jpg,outfield
Manuel Ángel,Ángel,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250139253.jpg,outfield
César Palacios,Palacios,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169885.jpg,outfield
Cristian Perea,Perea,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176529.jpg,outfield
Hugo de Llanos,Llanos,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176534.jpg,outfield
Thiago Pitarch,Thiago,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250205688.jpg,outfield
Daniel Meso,Meso,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250176530.jpg,outfield
Vinícius Júnior,Vinícius,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121533.jpg,outfield
Kylian Mbappé,Mbappé,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250076574.jpg,outfield
Rodrygo,Rodrygo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250132829.jpg,outfield
Gonzalo,Gonzalo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164226.jpg,outfield
Brahim Díaz,Brahim,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250088039.jpg,outfield
Franco Mastantuono,Mastantuono,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250210290.jpg,outfield
Daniel Yañez,Yañez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250189858.jpg,outfield
