name,display-name,image-url,role
Guille Ponce,Ponce,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207768.jpg,goalkeeper
Darlington Osuchukwu,Osuchukwu,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250217810.jpg,goalkeeper
Raúl Expósito,Expósito,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207762.jpg,outfield
Jordi Pesquer,Pesquer,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250215029.jpg,outfield
Mario Díaz,Mario Díaz,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207761.jpg,outfield
Sergi Mayans,Mayans,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207766.jpg,outfield
Arnau Cases,Cases,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250215027.jpg,outfield
Jorge Domínguez,Domínguez,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250212698.jpg,outfield
Mikel,Mikel,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250211911.jpg,outfield
Ian Mencía,Mencía,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207767.jpg,outfield
Mauro Valeiro,Valeiro,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250217811.jpg,outfield
Ebrima Tunkara,Tunkara,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207756.jpg,outfield
Holmes Junior Zamorano,Holmes,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207758.jpg,outfield
Cherif Fofana,Fofana,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250217808.jpg,outfield
Ruben Gomez,Gomez,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250200684.jpg,outfield
Enzo Alves,Enzo,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250206692.jpg,outfield
Abdou Kemo Badji,Badji,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207760.jpg,outfield
Joaquin Sanchez,Joaquin,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250217156.jpg,outfield
Roberto Tomás,Tomás,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250207759.jpg,outfield
Christian Imga,Imga,https://img.uefa.com/imgml/TP/players/23/2026/324x324/250212688.jpg,outfield
