name,display-name,image-url,role
David Raya,Raya,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250171278.jpg,goalkeeper
Álex Remiro,Remiro,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250066244.jpg,goalkeeper
Unai Simón,Simón,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250076116.jpg,goalkeeper
Dani Carvajal,Carvajal,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250024448.jpg,outfield
Robin Le Normand,Le Normand,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250112513.jpg,outfield
Alejandro Grimaldo,Grimaldo,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250042422.jpg,outfield
Daniel Vivian,Vivian,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250194503.jpg,outfield
Dean Huijsen,Huijsen,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250194474.jpg,outfield
Pedro Porro,Porro,https://img.uefa.com/imgml/TP/players/17/2026/324x324/150562676.jpg,outfield
Aymeric Laporte,Laporte,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250027046.jpg,outfield
Pau Cubarsí,Cubarsí,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250176453.jpg,outfield
Marc Cucurella,Cucurella,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250076168.jpg,outfield
Pablo Barrios,Barrios,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250139036.jpg,outfield
Marcos Llorente,Llorente,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250079670.jpg,outfield
Mikel Merino,Merino,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250080572.jpg,outfield
Fabián Ruiz,Fabián,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250115436.jpg,outfield
Rodri,Rodri,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250082664.jpg,outfield
Álex Baena,Baena,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250106963.jpg,outfield
Pablo Fornals,Fornals,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250092715.jpg,outfield
Nico Williams,Williams,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250163185.jpg,outfield
Martin Zubimendi,Zubimendi,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250143679.jpg,outfield
Aleix García,Aleix García,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250065301.jpg,outfield
Pedri,Pedri,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250143693.jpg,outfield
Mikel Oyarzabal,Oyarzabal,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250097180.jpg,outfield
Jorge De Frutos,De Frutos,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250211228.jpg,outfield
Samu,Samu,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250186228.jpg,outfield
Álvaro Morata,Morata,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250024456.jpg,outfield
Ferran Torres,Ferran,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250088320.jpg,outfield
Borja Iglesias,Iglesias,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250132180.jpg,outfield
Dani Olmo,Olmo,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250081720.jpg,outfield
Yeremy Pino,Pino,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250126916.jpg,outfield
Jesus Rodríguez,Jesus,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250197195.jpg,outfield
Lamine Yamal,Yamal,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250176450.jpg,outfield
Fermín López,Fermin,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250164780.jpg,outfield
Mosquera,Mosquera, ,outfield
Soler,Soler, ,outfield
Barrenetxea,Barrenetxea, ,outfield
