name,display-name,image-url,role
Rui Silva,Rui Silva,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250062141.jpg,goalkeeper
João Virginia,Virginia,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250089238.jpg,goalkeeper
Diego Callai,Callai,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250160990.jpg,goalkeeper
Miguel Gouveia,Gouveia,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250185410.jpg,goalkeeper
Guilherme Pires,Pires,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250184572.jpg,goalkeeper
Pedro Miguéis,Miguéis,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250191053.jpg,goalkeeper
Diogo Clara,Clara,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250202183.jpg,goalkeeper
Francisco Silva,F. Silva,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169894.jpg,goalkeeper
Matheus Reis,Reis,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250121330.jpg,outfield
Zeno Debast,Debast,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250137390.jpg,outfield
Giorgos Vagiannidis,Vagiannidis,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250187284.jpg,outfield
Iván Fresneda,Fresneda,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250179137.jpg,outfield
Gonçalo Inácio,Inácio,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250136464.jpg,outfield
Ousmane Diomande,Diomande,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169685.jpg,outfield
João Muniz,Muniz,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164922.jpg,outfield
David Moreira,Moreira,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250191055.jpg,outfield
Amores Dias,Dias,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250182835.jpg,outfield
Bruno Ramos,Ramos,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250205713.jpg,outfield
Miguel Alves,Miguel Alves,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250177771.jpg,outfield
Daniel Costa,D. Costa,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250202185.jpg,outfield
Denilson Santos,Denilson,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250182431.jpg,outfield
Eduardo Quaresma,Quaresma,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250117415.jpg,outfield
Atanásio,Atanásio,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250185408.jpg,outfield
Rafael Mota,Mota,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250182444.jpg,outfield
Afonso Lee,Lee,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250202026.jpg,outfield
Ricardo Mangas,Mangas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250077643.jpg,outfield
Duarte Tomás,Tomás,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250213599.jpg,outfield
Lucas Dominguez,Dominguez,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250179734.jpg,outfield
Hidemasa Morita,Morita,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250156457.jpg,outfield
Pedro Gonçalves,Gonçalves,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250143328.jpg,outfield
Giorgi Kochorashvili,Kochorashvili,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250088810.jpg,outfield
Maximiliano Araújo,Araújo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250200231.jpg,outfield
Daniel Bragança,Bragança,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250102308.jpg,outfield
Morten Hjulmand,Hjulmand,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250101557.jpg,outfield
João Simões,Simões,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250180059.jpg,outfield
Flávio Gonçalves,Flávio,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250202036.jpg,outfield
Rayan Lucas,Lucas,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250199471.jpg,outfield
Rayhan Momade,Momade,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250180060.jpg,outfield
Ivanildo Mendes,Mendes,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250177498.jpg,outfield
Salvador Blopa,Blopa,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250202032.jpg,outfield
Eduardo Felicíssimo,Felicíssimo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250182436.jpg,outfield
Gola Kissanga,Kissanga,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250184573.jpg,outfield
Rafael Besugo,Besugo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250180926.jpg,outfield
Manuel Mendonça,Mendonça,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250169892.jpg,outfield
Samuel Justo,Justo,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250164927.jpg,outfield
Rafael Camacho,Camacho,https://img.uefa.com/imgml/TP/players/1/2026/324x324/250182445.jpg,outfield
