category,name,url
England,Premier League,
England,FA Cup,
England,EFL Cup,
England,Community Shield,
Spain,La Liga,
Spain,Copa del Rey,
Spain,Spanish Super Cup,
Italy,Serie A,
Italy,Coppa Italia,
Italy,Supercoppa Italiana,
Germany,Bundesliga,
Germany,DFB-Pokal,
Germany,DFL-Supercup,
France,Ligue 1,
France,Coupe de France,
France,Trophee des Champions,
International,Champions League,
International,Europa League,
International,Conference League,
International,UEFA Super Cup,
International,Friendly,
