team,background,glowColor,defaultFormation,linkedTeam
Argentina,Argentina.webp,#5ba7e9,4-2-3-1,
Austria,Austria.webp,#ff1e1e,4-2-3-1,
Belgium,Belgium.webp,#ff0000,4-2-3-1,
Brazil,Brazil.webp,#fff600,4-2-3-1,
Croatia,Croatia.webp,#ff0000,3-4-2-1,
Egypt,Egypt.webp,#ff0000,4-2-3-1,
England,England.webp,#e5e5e5,4-2-3-1,
France,France.webp,#1a45ff,4-2-3-1,
Germany,Germany.webp,#fece43,4-2-3-1,
Morocco,Morocco.webp,#ff0000,4-2-3-1,
Netherlands,Netherlands.webp,#ff9c00,4-1-2-3,
Norway,Norway.webp,#ce0d34,4-1-2-3,
Portugal,Portugal.webp,#ff1100,4-1-2-3,
Scotland,Scotland.webp,#2092ff,4-4-2,
Senegal,Senegal.webp,#58a532,4-2-3-1,
Spain,Spain2.webp,#ff0000,4-2-3-1,
Switzerland,Switzerland.webp,#ff1e1e,4-2-3-1,
Uruguay,Uruguay.webp,#59abff,4-2-3-1,
Sweden,,#ffe400,3-5-2,
