name,display-name,image-url,role
Juan MUSSO,MUSSO,/img/players-world-cup/Argentina/musso.webp,goalkeeper
Geronimo RULLI,RULLI,/img/players-world-cup/Argentina/rulli.webp,goalkeeper
Emiliano MARTINEZ,MARTINEZ,,goalkeeper
Nicolas TAGLIAFICO,TAGLIAFICO,/img/players-world-cup/Argentina/tagliafico.webp,outfield
Gonzalo MONTIEL,MONTIEL,/img/players-world-cup/Argentina/montiel.webp,outfield
Lisandro MARTINEZ,LISANDRO,/img/players-world-cup/Argentina/lisandro.webp,outfield
Cristian ROMERO,ROMERO,/img/players-world-cup/Argentina/romero.webp,outfield
Nicolas OTAMENDI,OTAMENDI,/img/players-world-cup/Argentina/otamendi.webp,outfield
Facundo MEDINA,MEDINA,/img/players-world-cup/Argentina/medina.webp,outfield
Nahuel MOLINA,MOLINA,/img/players-world-cup/Argentina/molina.webp,outfield
Marcos SENESI,SENESI,,outfield
Leandro PAREDES,PAREDES,/img/players-world-cup/Argentina/paredes.webp,outfield
Rodrigo DE PAUL,DE PAUL,/img/players-world-cup/Argentina/de-paul.webp,outfield
Valentin BARCO,BARCO,/img/players-world-cup/Argentina/barco.webp,outfield
Giovani LO CELSO,LO CELSO,/img/players-world-cup/Argentina/lo-celso.webp,outfield
Exequiel PALACIOS,PALACIOS,/img/players-world-cup/Argentina/palacios.webp,outfield
Nico GONZALEZ,GONZALEZ,/img/players-world-cup/Argentina/gonzalez.webp,outfield
Alexis MAC ALLISTER,MAC ALLISTER,/img/players-world-cup/Argentina/mac-allister.webp,outfield
Enzo FERNANDEZ,ENZO,/img/players-world-cup/Argentina/enzo.webp,outfield
Julian ALVAREZ,ALVAREZ,/img/players-world-cup/Argentina/alvarez.webp,outfield
Lionel MESSI,MESSI,/img/players-world-cup/Argentina/messi.webp,outfield
Thiago ALMADA,ALMADA,/img/players-world-cup/Argentina/almada.webp,outfield
Giuliano SIMEONE,SIMEONE,/img/players-world-cup/Argentina/simeone.webp,outfield
Nico PAZ,PAZ,/img/players-world-cup/Argentina/paz.webp,outfield
Jose Manuel LOPEZ,LOPEZ,/img/players-world-cup/Argentina/lopez.webp,outfield
Lautaro MARTINEZ,LAUTARO,/img/players-world-cup/Argentina/lautaro.webp,outfield
