name,display-name,image-url,role
Alexander SCHLAGER,A. SCHLAGER,/img/players-world-cup/Austria/a-schlager.webp,goalkeeper
Florian WIEGELE,WIEGELE,/img/players-world-cup/Austria/wiegele.webp,goalkeeper
Patrick PENTZ,PENTZ,/img/players-world-cup/Austria/pentz.webp,goalkeeper
David AFFENGRUBER,AFFENGRUBER,/img/players-world-cup/Austria/affengruber.webp,outfield
Kevin DANSO,DANSO,/img/players-world-cup/Austria/danso.webp,outfield
Stefan POSCH,POSCH,/img/players-world-cup/Austria/posch.webp,outfield
David ALABA,ALABA,/img/players-world-cup/Austria/alaba.webp,outfield
Philipp LIENHART,LIENHART,/img/players-world-cup/Austria/lienhart.webp,outfield
Phillip MWENE,MWENE,/img/players-world-cup/Austria/mwene.webp,outfield
Marco FRIEDL,FRIEDL,/img/players-world-cup/Austria/friedl.webp,outfield
Michael SVOBODA,SVOBODA,/img/players-world-cup/Austria/svoboda.webp,outfield
Xaver SCHLAGER,X. SCHLAGER,/img/players-world-cup/Austria/x-schlager.webp,outfield
Nicolas SEIWALD,SEIWALD,/img/players-world-cup/Austria/seiwald.webp,outfield
Marcel SABITZER,SABITZER,/img/players-world-cup/Austria/sabitzer.webp,outfield
Florian GRILLITSCH,GRILLITSCH,/img/players-world-cup/Austria/grillitsch.webp,outfield
Carney CHUKWUEMEKA,CHUKWUEMEKA,/img/players-world-cup/Austria/chukwuemeka.webp,outfield
Romano SCHMID,SCHMID,/img/players-world-cup/Austria/schmid.webp,outfield
Dejan LJUBICIC,LJUBICIC,,outfield
Konrad LAIMER,LAIMER,/img/players-world-cup/Austria/laimer.webp,outfield
Alexander PRASS,PRASS,/img/players-world-cup/Austria/prass.webp,outfield
Paul WANNER,WANNER,/img/players-world-cup/Austria/wanner.webp,outfield
Alessandro SCHÖPF,SCÖEPF,/img/players-world-cup/Austria/scoepf.webp,outfield
Marko ARNAUTOVIC,ARNAUTOVIC,/img/players-world-cup/Austria/arnautovic.webp,outfield
Michael GREGORITSCH,GREGORITSCH,/img/players-world-cup/Austria/gregoritsch.webp,outfield
Sasa KALAJDZIC,KALAJDZIC,/img/players-world-cup/Austria/kalajdzic.webp,outfield
Patrick WIMMER,WIMMER,/img/players-world-cup/Austria/wimmer.webp,outfield
