name,display-name,image-url,role
Thibaut COURTOIS,COURTOIS,/img/players-world-cup/Belgium/courtois.webp,goalkeeper
Senne LAMMENS,LAMMENS,/img/players-world-cup/Belgium/lammens.webp,goalkeeper
Mike PENDERS,PENDERS,/img/players-world-cup/Belgium/penders.webp,goalkeeper
Zeno DEBAST,DEBAST,/img/players-world-cup/Belgium/debast.webp,outfield
Arthur THEATE,THEATE,/img/players-world-cup/Belgium/theate.webp,outfield
Brandon MECHELE,MECHELE,/img/players-world-cup/Belgium/mechele.webp,outfield
Maxim DE CUYPER,DE CUYPER,/img/players-world-cup/Belgium/de-cuyper.webp,outfield
Thomas MEUNIER,MEUNIER,/img/players-world-cup/Belgium/meunier.webp,outfield
Koni DE WINTER,DE WINTER,/img/players-world-cup/Belgium/de-winter.webp,outfield
Joaquin SEYS,SEYS,/img/players-world-cup/Belgium/seys.webp,outfield
Timothy CASTAGNE,CASTAGNE,/img/players-world-cup/Belgium/castagne.webp,outfield
Nathan NGOY,NGOY,/img/players-world-cup/Belgium/ngoy.webp,outfield
Axel WITSEL,WITSEL,/img/players-world-cup/Belgium/witsel.webp,outfield
Kevin DE BRUYNE,DE BRUYNE,/img/players-world-cup/Belgium/de-bruyne.webp,outfield
Youri TIELEMANS,TIELEMANS,/img/players-world-cup/Belgium/tielemans.webp,outfield
Diego MOREIRA,MOREIRA,/img/players-world-cup/Belgium/moreira.webp,outfield
Hans VANAKEN,VANAKEN,/img/players-world-cup/Belgium/vanaken.webp,outfield
Alexis SAELEMAEKERS,SAELEMAEKERS,/img/players-world-cup/Belgium/saelemaekers.webp,outfield
Nicolas RASKIN,RASKIN,/img/players-world-cup/Belgium/raskin.webp,outfield
Amadou ONANA,ONANA,/img/players-world-cup/Belgium/onana.webp,outfield
Romelu LUKAKU,LUKAKU,/img/players-world-cup/Belgium/lukaku.webp,outfield
Leandro TROSSARD,TROSSARD,/img/players-world-cup/Belgium/trossard.webp,outfield
Jeremy DOKU,DOKU,/img/players-world-cup/Belgium/doku.webp,outfield
Dodi LUKEBAKIO,LUKEBAKIO,/img/players-world-cup/Belgium/lukebakio.webp,outfield
Charles DE KETELAERE,DE KETELAERE,/img/players-world-cup/Belgium/de-ketelaere.webp,outfield
Matias FERNANDEZ-PARDO,FERNANDEZ,/img/players-world-cup/Belgium/fernandez.webp,outfield
