name,display-name,image-url,role
ALISSON,ALISSON,/img/players-world-cup/Brazil/alisson.png,goalkeeper
WEVERTON,WEVERTON,/img/players-world-cup/Brazil/weverton.png,goalkeeper
EDERSON MORAES,EDERSON M.,/img/players-world-cup/Brazil/ederson.png,goalkeeper
WESLEY,WESLEY,/img/players-world-cup/Brazil/wesley.png,outfield
GABRIEL MAGALHAES,GABRIEL,/img/players-world-cup/Brazil/gabriel.png,outfield
MARQUINHOS,MARQUINHOS,/img/players-world-cup/Brazil/marquinhos.png,outfield
ALEX SANDRO,SANDRO,/img/players-world-cup/Brazil/sandro.png,outfield
DANILO,DANILO,/img/players-world-cup/Brazil/danilo.png,outfield
BREMER,BREMER,/img/players-world-cup/Brazil/bremer.png,outfield
LEO PEREIRA,PEREIRA,/img/players-world-cup/Brazil/pereira.png,outfield
DOUGLAS SANTOS,SANTOS,/img/players-world-cup/Brazil/santos.png,outfield
ROGER IBANEZ,IBANEZ,/img/players-world-cup/Brazil/ibanez.png,outfield
CASEMIRO,CASEMIRO,/img/players-world-cup/Brazil/casemiro.png,outfield
BRUNO GUIMARAES,GUIMARAES,/img/players-world-cup/Brazil/guimaraes.png,outfield
FABINHO,FABINHO,/img/players-world-cup/Brazil/fabinho.png,outfield
DANILO SANTOS,DANILO S.,/img/players-world-cup/Brazil/danilo-s.png,outfield
LUCAS PAQUETA,PAQUETA,/img/players-world-cup/Brazil/paqueta.png,outfield
VINICIUS JUNIOR,VINICIUS,/img/players-world-cup/Brazil/vinicius.png,outfield
MATHEUS CUNHA,CUNHA,/img/players-world-cup/Brazil/cunha.png,outfield
NEYMAR JR,NEYMAR,/img/players-world-cup/Brazil/neymar.png,outfield
RAPHINHA,RAPHINHA,/img/players-world-cup/Brazil/raphinha.png,outfield
ENDRICK,ENDRICK,/img/players-world-cup/Brazil/endrick.png,outfield
LUIZ HENRIQUE,HENRIQUE,/img/players-world-cup/Brazil/henrique.png,outfield
GABRIEL MARTINELLI,MARTINELLI,/img/players-world-cup/Brazil/martinelli.png,outfield
IGOR THIAGO,THIAGO,/img/players-world-cup/Brazil/thiago.png,outfield
RAYAN,RAYAN,/img/players-world-cup/Brazil/rayan.png,outfield
EDERSON SILVA,EDERSON,,outfield
