name,display-name,image-url,role
Dominik LIVAKOVIC,LIVAKOVIC,/img/players-world-cup/Croatia/livakovic.webp,goalkeeper
Ivor PANDUR,PANDUR,/img/players-world-cup/Croatia/pandur.webp,goalkeeper
Dominik KOTARSKI,KOTARSKI,/img/players-world-cup/Croatia/kotarski.webp,goalkeeper
Josip STANISIC,STANISIC,/img/players-world-cup/Croatia/stanisic.webp,outfield
Marin PONGRACIC,PONGRACIC,/img/players-world-cup/Croatia/pongracic.webp,outfield
Josko GVARDIOL,GVARDIOL,/img/players-world-cup/Croatia/gvardiol.webp,outfield
Duje CALETA-CAR,CALETA-CAR,/img/players-world-cup/Croatia/caleta-car.webp,outfield
Josip SUTALO,SUTALO,/img/players-world-cup/Croatia/sutalo.webp,outfield
Kristijan JAKIC,JAKIC,/img/players-world-cup/Croatia/jakic.webp,outfield
Luka VUSKOVIC,VUSKOVIC,/img/players-world-cup/Croatia/vuskovic.webp,outfield
Martin ERLIC,ERLIC,/img/players-world-cup/Croatia/erlic.webp,outfield
Nikola MORO,MORO,/img/players-world-cup/Croatia/moro.webp,outfield
Mateo KOVACIC,KOVACIC,/img/players-world-cup/Croatia/kovacic.webp,outfield
Luka MODRIC,MODRIC,/img/players-world-cup/Croatia/modric.webp,outfield
Nikola VLASIC,VLASIC,/img/players-world-cup/Croatia/vlasic.webp,outfield
Mario PASALIC,PASALIC,/img/players-world-cup/Croatia/pasalic.webp,outfield
Martin BATURINA,BATURINA,/img/players-world-cup/Croatia/baturina.webp,outfield
Petar SUCIC,P. SUCIC,/img/players-world-cup/Croatia/p-sucic.webp,outfield
Toni FRUK,FRUK,/img/players-world-cup/Croatia/fruk.webp,outfield
Luka SUCIC,L. SUCIC,/img/players-world-cup/Croatia/l-sucic.webp,outfield
Andrej KRAMARIC,KRAMARIC,/img/players-world-cup/Croatia/kramaric.webp,outfield
Ante BUDIMIR,BUDIMIR,/img/players-world-cup/Croatia/budimir.webp,outfield
Ivan PERISIC,PERISIC,/img/players-world-cup/Croatia/perisic.webp,outfield
Igor MATANOVIC,MATANOVIC,/img/players-world-cup/Croatia/matanovic.webp,outfield
Marco PASALIC,M. PASALIC,/img/players-world-cup/Croatia/m-pasalic.webp,outfield
Petar MUSA,MUSA,/img/players-world-cup/Croatia/musa.webp,outfield
