name,display-name,image-url,role
MOHAMED ELSHENAWY,ELSHENAWY,/img/players-world-cup/Egypt/elshenawy.webp,goalkeeper
MAHDY SOLIMAN,SOLIMAN,/img/players-world-cup/Egypt/soliman.webp,goalkeeper
MOSTAFA SHOUBIR,SHOUBIR,/img/players-world-cup/Egypt/shoubir.webp,goalkeeper
MOHAMED ALAA,M. ALAA,/img/players-world-cup/Egypt/m-alaa.webp,goalkeeper
YASSER IBRAHIM,IBRAHIM,/img/players-world-cup/Egypt/ibrahim.webp,outfield
MOHAMED HANY,HANY,/img/players-world-cup/Egypt/hany.webp,outfield
HOSSAM ABDELMAGUID,ABDELMAGUID,/img/players-world-cup/Egypt/abdelmaguid.webp,outfield
RAMY RABIA,RABIA,/img/players-world-cup/Egypt/rabia.webp,outfield
MOHAMED ABDELMONEIM,ABDELMONEIM,/img/players-world-cup/Egypt/abdelmoneim.webp,outfield
AHMED FATOUH,FATOUH,/img/players-world-cup/Egypt/fatouh.webp,outfield
KARIM HAFEZ,HAFEZ,/img/players-world-cup/Egypt/hafez.webp,outfield
TAREK ALAA,T. ALAA,/img/players-world-cup/Egypt/t-alaa.webp,outfield
EMAM ASHOUR,ASHOUR,/img/players-world-cup/Egypt/ashour.webp,outfield
MOSTAFA ZICO,ZICO,/img/players-world-cup/Egypt/zico.webp,outfield
HAMDY FATHY,FATHY,/img/players-world-cup/Egypt/fathy.webp,outfield
MOHANAD LASHIN,LASHIN,/img/players-world-cup/Egypt/lashin.webp,outfield
NABIL DONGA,DONGA,/img/players-world-cup/Egypt/donga.webp,outfield
MARAWAN ATTIA,ATTIA,/img/players-world-cup/Egypt/attia.webp,outfield
MAHMOUD SABER,SABER,/img/players-world-cup/Egypt/saber.webp,outfield
TREZEGUET,TREZEGUET,/img/players-world-cup/Egypt/trezeguet.webp,outfield
HAMZA ABDELKARIM,ABDELKARIM,/img/players-world-cup/Egypt/abdelkarim.webp,outfield
MOHAMED SALAH,SALAH,/img/players-world-cup/Egypt/salah.webp,outfield
Haissem HASSAN,HASSAN,/img/players-world-cup/Egypt/hassan.webp,outfield
IBRAHIM ADEL,ADEL,/img/players-world-cup/Egypt/adel.webp,outfield
OMAR MARMOUSH,MARMOUSH,/img/players-world-cup/Egypt/marmoush.webp,outfield
ZIZO,ZIZO,/img/players-world-cup/Egypt/zizo.webp,outfield
