name,display-name,image-url,role
Jordan PICKFORD,PICKFORD,/img/players-world-cup/England/pickford.webp,goalkeeper
Dean HENDERSON,D. HENDERSON,/img/players-world-cup/England/d-henderson.webp,goalkeeper
James TRAFFORD,TRAFFORD,/img/players-world-cup/England/trafford.webp,goalkeeper
Ezri KONSA,KONSA,/img/players-world-cup/England/konsa.webp,outfield
Nico O'REILLY,O'REILLY,,outfield
John STONES,STONES,/img/players-world-cup/England/stones.webp,outfield
Marc GUEHI,GUEHI,/img/players-world-cup/England/guehi.webp,outfield
Tino LIVRAMENTO,LIVRAMENTO,/img/players-world-cup/England/livramento.webp,outfield
Dan BURN,BURN,/img/players-world-cup/England/burn.webp,outfield
Reece JAMES,JAMES,/img/players-world-cup/England/james.webp,outfield
Djed SPENCE,SPENCE,/img/players-world-cup/England/spence.webp,outfield
Jarell QUANSAH,QUANSAH,/img/players-world-cup/England/quansah.webp,outfield
Declan RICE,RICE,/img/players-world-cup/England/rice.webp,outfield
Elliot ANDERSON,ANDERSON,/img/players-world-cup/England/anderson.webp,outfield
Jude BELLINGHAM,BELLINGHAM,/img/players-world-cup/England/bellingham.webp,outfield
Jordan HENDERSON,HENDERSON,/img/players-world-cup/England/henderson.webp,outfield
Kobbie MAINOO,MAINOO,/img/players-world-cup/England/mainoo.webp,outfield
Morgan ROGERS,ROGERS,/img/players-world-cup/England/rogers.webp,outfield
Eberechi EZE,EZE,/img/players-world-cup/England/eze.webp,outfield
Bukayo SAKA,SAKA,,outfield
Harry KANE,KANE,/img/players-world-cup/England/kane.webp,outfield
Marcus RASHFORD,RASHFORD,/img/players-world-cup/England/rashford.webp,outfield
Anthony GORDON,GORDON,/img/players-world-cup/England/gordon.webp,outfield
Ollie WATKINS,WATKINS,/img/players-world-cup/England/watkins.webp,outfield
Noni MADUEKE,MADUEKE,/img/players-world-cup/England/madueke.webp,outfield
Ivan TONEY,TONEY,/img/players-world-cup/England/toney.webp,outfield
Rio NGUMOHA,NGUMOHA,,outfield
