name,display-name,image-url,role
Brice SAMBA,SAMBA,/img/players-world-cup/France/samba.webp,goalkeeper
Mike MAIGNAN,MAIGNAN,/img/players-world-cup/France/maignan.webp,goalkeeper
Robin RISSER,RISSER,/img/players-world-cup/France/risser.webp,goalkeeper
Malo GUSTO,GUSTO,/img/players-world-cup/France/gusto.webp,outfield
Lucas DIGNE,DIGNE,/img/players-world-cup/France/digne.webp,outfield
Dayot UPAMECANO,UPAMECANO,/img/players-world-cup/France/upamecano.webp,outfield
Jules KOUNDE,KOUNDE,/img/players-world-cup/France/kounde.webp,outfield
Ibrahima KONATE,KONATE,/img/players-world-cup/France/konate.webp,outfield
William SALIBA,SALIBA,/img/players-world-cup/France/saliba.webp,outfield
Theo HERNANDEZ,T. HERNANDEZ,/img/players-world-cup/France/t-hernandez.webp,outfield
Lucas HERNANDEZ,L. HERNANDEZ,/img/players-world-cup/France/l-hernandez.webp,outfield
Maxence LACROIX,LACROIX,/img/players-world-cup/France/lacroix.webp,outfield
Manu KONE,KONE,/img/players-world-cup/France/kone.webp,outfield
Aurelien TCHOUAMENI,TCHOUAMENI,/img/players-world-cup/France/tchouameni.webp,outfield
Ngolo KANTE,KANTE,/img/players-world-cup/France/kante.webp,outfield
Adrien RABIOT,RABIOT,/img/players-world-cup/France/rabiot.webp,outfield
Warren ZAIRE-EMERY,ZAIRE-EMERY,/img/players-world-cup/France/zaire-emery.webp,outfield
Rayan CHERKI,CHERKI,/img/players-world-cup/France/cherki.webp,outfield
Maghnes AKLIOUCHE,AKLIOUCHE,/img/players-world-cup/France/akliouche.webp,outfield
Ousmane DEMBELE,DEMBELE,/img/players-world-cup/France/dembele.webp,outfield
Marcus THURAM,THURAM,/img/players-world-cup/France/thuram.webp,outfield
Kylian MBAPPE,MBAPPE,/img/players-world-cup/France/mbappe.webp,outfield
Michael OLISE,OLISE,,outfield
Bradley BARCOLA,BARCOLA,/img/players-world-cup/France/barcola.webp,outfield
Desire DOUE,DOUE,/img/players-world-cup/France/doue.webp,outfield
Jean-Philippe MATETA,MATETA,/img/players-world-cup/France/mateta.webp,outfield
