name,display-name,image-url,role
Manuel NEUER,NEUER,/img/players-world-cup/Germany/neuer.webp,goalkeeper
Oliver BAUMANN,BAUMANN,/img/players-world-cup/Germany/baumann.webp,goalkeeper
Alexander NÜBEL,NÜBEL,/img/players-world-cup/Germany/nubel.webp,goalkeeper
Antonio RÜDIGER,RÜDIGER,/img/players-world-cup/Germany/rudiger.webp,outfield
Waldemar ANTON,ANTON,/img/players-world-cup/Germany/anton.webp,outfield
Jonathan TAH,TAH,/img/players-world-cup/Germany/tah.webp,outfield
Joshua KIMMICH,KIMMICH,/img/players-world-cup/Germany/kimmich.webp,outfield
Nico SCHLOTTERBECK,SCHLOTTERBECK,/img/players-world-cup/Germany/schlotterbeck.webp,outfield
Nathaniel BROWN,BROWN,/img/players-world-cup/Germany/brown.webp,outfield
David RAUM,RAUM,/img/players-world-cup/Germany/raum.webp,outfield
Malick THIAW,THIAW,/img/players-world-cup/Germany/thiaw.webp,outfield
Aleksandar PAVLOVIC,PAVLOVIC,/img/players-world-cup/Germany/pavlovic.webp,outfield
Leon GORETZKA,GORETZKA,/img/players-world-cup/Germany/goretzka.webp,outfield
Jamie LEWELING,LEWELING,/img/players-world-cup/Germany/leweling.webp,outfield
Jamal MUSIALA,MUSIALA,/img/players-world-cup/Germany/musiala.webp,outfield
Pascal GROß,GROß,/img/players-world-cup/Germany/gro.webp,outfield
Angelo STILLER,STILLER,/img/players-world-cup/Germany/stiller.webp,outfield
Florian WIRTZ,WIRTZ,/img/players-world-cup/Germany/wirtz.webp,outfield
Leroy SANE,SANE,/img/players-world-cup/Germany/sane.webp,outfield
Nadiem AMIRI,AMIRI,/img/players-world-cup/Germany/amiri.webp,outfield
Felix NMECHA,NMECHA,/img/players-world-cup/Germany/nmecha.webp,outfield
Assan OUEDRAOGO,OUEDRAOGO,/img/players-world-cup/Germany/ouedraogo.webp,outfield
Kai HAVERTZ,HAVERTZ,/img/players-world-cup/Germany/havertz.webp,outfield
Nick WOLTEMADE,WOLTEMADE,/img/players-world-cup/Germany/woltemade.webp,outfield
Maximilian BEIER,BEIER,/img/players-world-cup/Germany/beier.webp,outfield
Deniz UNDAV,UNDAV,/img/players-world-cup/Germany/undav.webp,outfield
