name,display-name,image-url,role
Yassine BOUNOU,BONO,/img/players-world-cup/Morocco/bono.webp,goalkeeper
Munir EL KAJOUI,EL KAJOUI,/img/players-world-cup/Morocco/el-kajoui.webp,goalkeeper
Ahmed Reda TAGNAOUTI,TAGNAOUTI,/img/players-world-cup/Morocco/tagnaouti.webp,goalkeeper
Achraf HAKIMI,HAKIMI,/img/players-world-cup/Morocco/hakimi.webp,outfield
Noussair MAZRAOUI,MAZRAOUI,/img/players-world-cup/Morocco/mazraoui.webp,outfield
Marwane SAADANE,SAADANE,,outfield
Zakaria EL OUAHDI,OUAHDI,/img/players-world-cup/Morocco/ouahdi.webp,outfield
Issa DIOP,DIOP,/img/players-world-cup/Morocco/diop.webp,outfield
Chadi RIAD,RIAD,/img/players-world-cup/Morocco/riad.webp,outfield
Youssef BELAMMARI,BELAMMARI,/img/players-world-cup/Morocco/belammari.webp,outfield
Redouane HALHAL,HALHAL,/img/players-world-cup/Morocco/halhal.webp,outfield
Anass SALAH EDDINE,SALAH EDDINE,/img/players-world-cup/Morocco/salah-eddine.webp,outfield
Sofyan AMRABAT,AMRABAT,/img/players-world-cup/Morocco/amrabat.webp,outfield
Ayyoub BOUADDI,BOUADDI,/img/players-world-cup/Morocco/bouaddi.webp,outfield
Chemsdine TALBI,TALBI,/img/players-world-cup/Morocco/talbi.webp,outfield
Azzedine OUNAHI,OUNAHI,/img/players-world-cup/Morocco/ounahi.webp,outfield
Ismael SAIBARI,SAIBARI,/img/players-world-cup/Morocco/saibari.webp,outfield
Samir EL MOURABET,EL MOURABET,/img/players-world-cup/Morocco/el-mourabet.webp,outfield
Gessime YASSINE,YASSINE,/img/players-world-cup/Morocco/yassine.webp,outfield
Bilal EL KHANNOUSS,EL KHANNOUSS,/img/players-world-cup/Morocco/el-khannouss.webp,outfield
Neil EL AYNAOUI,EL AYNAOUI,/img/players-world-cup/Morocco/el-aynaoui.webp,outfield
Soufiane RAHIMI,RAHIMI,/img/players-world-cup/Morocco/rahimi.webp,outfield
Brahim DIAZ,BRAHIM,/img/players-world-cup/Morocco/brahim.webp,outfield
Amine SBAI,SBAI,,outfield
Ayoub EL KAABI,EL KAABI,/img/players-world-cup/Morocco/el-kaabi.webp,outfield
Ayoube AMAIMOUNI,AMAIMOUNI,/img/players-world-cup/Morocco/amaimouni.webp,outfield
