name,display-name,image-url,role
Bart VERBRUGGEN,VERBRUGGEN,/img/players-world-cup/Netherlands/verbruggen.webp,goalkeeper
Robin ROEFS,ROEFS,,goalkeeper
Mark FLEKKEN,FLEKKEN,/img/players-world-cup/Netherlands/flekken.webp,goalkeeper
Lutsharel GEERTRUIDA,GEERTRUIDA,,outfield
Virgil VAN DIJK,VAN DIJK,/img/players-world-cup/Netherlands/van-dijk.webp,outfield
Nathan AKE,AKE,/img/players-world-cup/Netherlands/ake.webp,outfield
Jan Paul VAN HECKE,VAN HECKE,/img/players-world-cup/Netherlands/van-hecke.webp,outfield
Mats WIEFFER,WIEFFER,/img/players-world-cup/Netherlands/wieffer.webp,outfield
Micky VAN DE VEN,VAN DE VEN,/img/players-world-cup/Netherlands/van-de-ven.webp,outfield
Denzel DUMFRIES,DUMFRIES,/img/players-world-cup/Netherlands/dumfries.webp,outfield
Jorrel HATO,HATO,/img/players-world-cup/Netherlands/hato.webp,outfield
Marten DE ROON,DE ROON,/img/players-world-cup/Netherlands/de-roon.webp,outfield
Justin KLUIVERT,KLUIVERT,/img/players-world-cup/Netherlands/kluivert.webp,outfield
Ryan GRAVENBERCH,GRAVENBERCH,/img/players-world-cup/Netherlands/gravenberch.webp,outfield
Tijjani REIJNDERS,REIJNDERS,/img/players-world-cup/Netherlands/reijnders.webp,outfield
Guus TIL,TIL,/img/players-world-cup/Netherlands/til.webp,outfield
Teun KOOPMEINERS,KOOPMEINERS,/img/players-world-cup/Netherlands/koopmeiners.webp,outfield
Frenkie DE JONG,DE JONG,/img/players-world-cup/Netherlands/de-jong.webp,outfield
Quinten TIMBER,Q. TIMBER,/img/players-world-cup/Netherlands/q-timber.webp,outfield
Wout WEGHORST,WEGHORST,/img/players-world-cup/Netherlands/weghorst.webp,outfield
Memphis DEPAY,DEPAY,/img/players-world-cup/Netherlands/depay.webp,outfield
Cody GAKPO,GAKPO,/img/players-world-cup/Netherlands/gakpo.webp,outfield
Noa LANG,LANG,/img/players-world-cup/Netherlands/lang.webp,outfield
Donyell MALEN,MALEN,/img/players-world-cup/Netherlands/malen.webp,outfield
Brian BROBBEY,BROBBEY,/img/players-world-cup/Netherlands/brobbey.webp,outfield
Crysencio SUMMERVILLE,SUMMERVILLE,/img/players-world-cup/Netherlands/summerville.webp,outfield
