name,display-name,image-url,role
Orjan NYLAND,NYLAND,/img/players-world-cup/Norway/nyland.webp,goalkeeper
Sander TANGVIK,TANGVIK,/img/players-world-cup/Norway/tangvik.webp,goalkeeper
Egil SELVIK,SELVIK,/img/players-world-cup/Norway/selvik.webp,goalkeeper
Kristoffer AJER,AJER,/img/players-world-cup/Norway/ajer.webp,outfield
Leo OSTIGAARD,OSTIGAARD,/img/players-world-cup/Norway/ostigaard.webp,outfield
David MOLLER WOLFE,WOLFE,/img/players-world-cup/Norway/wolfe.webp,outfield
Fredrik Andre BJORKAN,BJORKAN,/img/players-world-cup/Norway/bjorkan.webp,outfield
Marcus HOLMGREN PEDERSEN,PEDERSEN,/img/players-world-cup/Norway/pedersen.webp,outfield
Torbjorn HEGGEM,HEGGEM,/img/players-world-cup/Norway/heggem.webp,outfield
Sondre LANGAS,LANGAS,/img/players-world-cup/Norway/langas.webp,outfield
Henrik FALCHENER,FALCHENER,/img/players-world-cup/Norway/falchener.webp,outfield
Morten THORSBY,THORSBY,/img/players-world-cup/Norway/thorsby.webp,outfield
Patrick BERG,BERG,/img/players-world-cup/Norway/berg.webp,outfield
Sander BERGE,BERGE,/img/players-world-cup/Norway/berge.webp,outfield
Martin ODEGAARD,ODEGAARD,/img/players-world-cup/Norway/odegaard.webp,outfield
Fredrik AURSNES,AURSNES,/img/players-world-cup/Norway/aursnes.webp,outfield
Kristian THORSTVEDT,THORSTVEDT,/img/players-world-cup/Norway/thorstvedt.webp,outfield
Thelo AASGAARD,AASGAARD,/img/players-world-cup/Norway/aasgaard.webp,outfield
Andreas SCHJELDERUP,SCHJELDERUP,/img/players-world-cup/Norway/schjelderup.webp,outfield
Oscar BOBB,BOBB,/img/players-world-cup/Norway/bobb.webp,outfield
Jens Petter HAUGE,HAUGE,/img/players-world-cup/Norway/hauge.webp,outfield
Alexander SORLOTH,SORLOTH,/img/players-world-cup/Norway/sorloth.webp,outfield
Erling HAALAND,HAALAND,/img/players-world-cup/Norway/haaland.webp,outfield
Jorgen STRAND LARSEN,STRAND LARSEN,/img/players-world-cup/Norway/strand-larsen.webp,outfield
Antonio NUSA,NUSA,/img/players-world-cup/Norway/nusa.webp,outfield
Julian RYERSON,RYERSON,/img/players-world-cup/Norway/ryerson.webp,outfield
