name,display-name,image-url,role
DIOGO COSTA,COSTA,/img/players-world-cup/Portugal/costa.webp,goalkeeper
JOSE SA,JOSE SA,/img/players-world-cup/Portugal/jose-sa.webp,goalkeeper
RUI SILVA,RUI SILVA,/img/players-world-cup/Portugal/rui-silva.webp,goalkeeper
NELSON SEMEDO,SEMEDO,/img/players-world-cup/Portugal/semedo.webp,outfield
RUBEN DIAS,DIAS,/img/players-world-cup/Portugal/dias.webp,outfield
TOMAS ARAUJO,ARAUJO,/img/players-world-cup/Portugal/araujo.webp,outfield
DIOGO DALOT,DALOT,/img/players-world-cup/Portugal/dalot.webp,outfield
RENATO VEIGA,VEIGA,/img/players-world-cup/Portugal/veiga.webp,outfield
GONCALO INACIO,INACIO,/img/players-world-cup/Portugal/inacio.webp,outfield
JOAO CANCELO,CANCELO,/img/players-world-cup/Portugal/cancelo.webp,outfield
SAMU COSTA,SAMU COSTA,/img/players-world-cup/Portugal/samu-costa.webp,outfield
NUNO MENDES,MENDES,/img/players-world-cup/Portugal/mendes.webp,outfield
MATHEUS NUNES,NUNES,/img/players-world-cup/Portugal/nunes.webp,outfield
BRUNO FERNANDES,FERNANDES,/img/players-world-cup/Portugal/fernandes.webp,outfield
BERNARDO SILVA,SILVA,/img/players-world-cup/Portugal/silva.webp,outfield
JOAO NEVES,J. NEVES,/img/players-world-cup/Portugal/j-neves.webp,outfield
RUBEN NEVES,R. NEVES,/img/players-world-cup/Portugal/r-neves.webp,outfield
VITINHA,VITINHA,/img/players-world-cup/Portugal/vitinha.webp,outfield
CRISTIANO RONALDO,RONALDO,/img/players-world-cup/Portugal/ronaldo.webp,outfield
GONCALO RAMOS,RAMOS,/img/players-world-cup/Portugal/ramos.webp,outfield
JOAO FELIX,FELIX,/img/players-world-cup/Portugal/felix.webp,outfield
FRANCISCO TRINCAO,TRINCAO,/img/players-world-cup/Portugal/trincao.webp,outfield
RAFAEL LEAO,LEAO,/img/players-world-cup/Portugal/leao.webp,outfield
PEDRO NETO,NETO,/img/players-world-cup/Portugal/neto.webp,outfield
GONCALO GUEDES,GUEDES,/img/players-world-cup/Portugal/guedes.webp,outfield
FRANCISCO CONCEICAO,CONCEICAO,/img/players-world-cup/Portugal/conceicao.webp,outfield
