name,display-name,image-url,role
Angus Gunn,Gunn,/img/players-world-cup/Scotland/gunn.webp,goalkeeper
Liam Kelly,Kelly,/img/players-world-cup/Scotland/kelly.webp,goalkeeper
Craig Gordon,Gordon,/img/players-world-cup/Scotland/gordon.webp,goalkeeper
Aaron Hickey,Hickey,/img/players-world-cup/Scotland/hickey.webp,outfield
Andy Robertson,Robertson,/img/players-world-cup/Scotland/robertson.webp,outfield
Grant Hanley,Hanley,/img/players-world-cup/Scotland/hanley.webp,outfield
Kieran Tierney,Tierney,/img/players-world-cup/Scotland/tierney.webp,outfield
Jack Hendry,Hendry,/img/players-world-cup/Scotland/hendry.webp,outfield
John Souttar,Souttar,/img/players-world-cup/Scotland/souttar.webp,outfield
Dominic Hyam,Hyam,/img/players-world-cup/Scotland/hyam.webp,outfield
Nathan Patterson,Patterson,/img/players-world-cup/Scotland/patterson.webp,outfield
Anthony Ralston,Ralston,/img/players-world-cup/Scotland/ralston.webp,outfield
Scott McKenna,McKenna,/img/players-world-cup/Scotland/mckenna.webp,outfield
Scott McTominay,McTominay,/img/players-world-cup/Scotland/mctominay.webp,outfield
John McGinn,McGinn,/img/players-world-cup/Scotland/mcginn.webp,outfield
Tyler Fletcher,Fletcher,/img/players-world-cup/Scotland/fletcher.webp,outfield
Ryan Christie,Christie,/img/players-world-cup/Scotland/christie.webp,outfield
Lewis Ferguson,Ferguson,/img/players-world-cup/Scotland/ferguson.webp,outfield
Kenny McLean,McLean,/img/players-world-cup/Scotland/mclean.webp,outfield
Lyndon Dykes,Dykes,/img/players-world-cup/Scotland/dykes.webp,outfield
Che Adams,Adams,/img/players-world-cup/Scotland/adams.webp,outfield
Ross Stewart,Stewart,/img/players-world-cup/Scotland/stewart.webp,outfield
Ben Gannon-Doak,Gannon-Doak,/img/players-world-cup/Scotland/gannon-doak.webp,outfield
George Hirst,Hirst,/img/players-world-cup/Scotland/hirst.webp,outfield
Lawrence Shankland,Shankland,/img/players-world-cup/Scotland/shankland.webp,outfield
Findlay Curtis,Curtis,/img/players-world-cup/Scotland/curtis.webp,outfield
