name,display-name,image-url,role
Yehvann DIOUF,Y. DIOUF,/img/players-world-cup/Senegal/y-diouf.webp,goalkeeper
Edouard MENDY,MENDY,/img/players-world-cup/Senegal/mendy.webp,goalkeeper
Mory DIAW,DIAW,/img/players-world-cup/Senegal/diaw.webp,goalkeeper
Mamadou SARR,M. SARR,/img/players-world-cup/Senegal/m-sarr.webp,outfield
Kalidou KOULIBALY,KOULIBALY,/img/players-world-cup/Senegal/koulibaly.webp,outfield
Abdoulaye SECK,SECK,/img/players-world-cup/Senegal/seck.webp,outfield
Ismail JAKOBS,JAKOBS,/img/players-world-cup/Senegal/jakobs.webp,outfield
Krepin DIATTA,DIATTA,/img/players-world-cup/Senegal/diatta.webp,outfield
Moussa NIAKHATE,NIAKHATE,/img/players-world-cup/Senegal/niakhate.webp,outfield
Antoine MENDY,A. MENDY,/img/players-world-cup/Senegal/a-mendy.webp,outfield
El Hadji Malick DIOUF,DIOUF,/img/players-world-cup/Senegal/diouf.webp,outfield
Idrissa Gana GUEYE,GANA,,outfield
Pathe CISS,CISS,/img/players-world-cup/Senegal/ciss.webp,outfield
Lamine CAMARA,CAMARA,/img/players-world-cup/Senegal/camara.webp,outfield
Pape Matar SARR,P. SARR,/img/players-world-cup/Senegal/p-sarr.webp,outfield
Habib DIARRA,DIARRA,/img/players-world-cup/Senegal/diarra.webp,outfield
Bara Sapoko NDIAYE,B. NDIAYE,/img/players-world-cup/Senegal/b-ndiaye.webp,outfield
Pape GUEYE,PAPE GUEYE,/img/players-world-cup/Senegal/pape-gueye.webp,outfield
Assane DIAO,DIAO,/img/players-world-cup/Senegal/diao.webp,outfield
Bamba DIENG,DIENG,/img/players-world-cup/Senegal/dieng.webp,outfield
Sadio MANE,MANE,/img/players-world-cup/Senegal/mane.webp,outfield
Nicolas JACKSON,JACKSON,/img/players-world-cup/Senegal/jackson.webp,outfield
Cherif NDIAYE,C. NDIAYE,/img/players-world-cup/Senegal/c-ndiaye.webp,outfield
Iliman NDIAYE,I. NDIAYE,/img/players-world-cup/Senegal/i-ndiaye.webp,outfield
Ismaila SARR,I SARR,/img/players-world-cup/Senegal/i-sarr.webp,outfield
Ibrahim MBAYE,MBAYE,/img/players-world-cup/Senegal/mbaye.webp,outfield
