name,display-name,image-url,role
David RAYA,RAYA,/img/players-world-cup/Spain/raya.webp,goalkeeper
Joan GARCIA,JOAN GARCIA,/img/players-world-cup/Spain/joan-garcia.webp,goalkeeper
Unai SIMON,SIMON,/img/players-world-cup/Spain/simon.webp,goalkeeper
Marc PUBILL,PUBILL,/img/players-world-cup/Spain/pubill.webp,outfield
Alex GRIMALDO,GRIMALDO,/img/players-world-cup/Spain/grimaldo.webp,outfield
Eric GARCIA,ERIC GARCIA,/img/players-world-cup/Spain/eric-garcia.webp,outfield
Marcos LLORENTE,LLORENTE,/img/players-world-cup/Spain/llorente.webp,outfield
Pedro PORRO,PORRO,/img/players-world-cup/Spain/porro.webp,outfield
Aymeric LAPORTE,LAPORTE,/img/players-world-cup/Spain/laporte.webp,outfield
Pau CUBARSI,CUBARSI,/img/players-world-cup/Spain/cubarsi.webp,outfield
Marc CUCURELLA,CUCURELLA,/img/players-world-cup/Spain/cucurella.webp,outfield
Mikel MERINO,MERINO,/img/players-world-cup/Spain/merino.webp,outfield
Fabian RUIZ,FABIAN,/img/players-world-cup/Spain/fabian.webp,outfield
GAVI,GAVI,/img/players-world-cup/Spain/gavi.webp,outfield
Alex BAENA,BAENA,/img/players-world-cup/Spain/baena.webp,outfield
RODRI,RODRI,/img/players-world-cup/Spain/rodri.webp,outfield
Martin ZUBIMENDI,ZUBIMENDI,/img/players-world-cup/Spain/zubimendi.webp,outfield
PEDRI,PEDRI,/img/players-world-cup/Spain/pedri.webp,outfield
Ferran TORRES,FERRAN,/img/players-world-cup/Spain/ferran.webp,outfield
Dani OLMO,OLMO,/img/players-world-cup/Spain/olmo.webp,outfield
Yeremy PINO,PINO,/img/players-world-cup/Spain/pino.webp,outfield
Nico WILLIAMS,WILLIAMS,/img/players-world-cup/Spain/williams.webp,outfield
Lamine YAMAL,YAMAL,/img/players-world-cup/Spain/yamal.webp,outfield
Mikel OYARZABAL,OYARZABAL,/img/players-world-cup/Spain/oyarzabal.webp,outfield
Victor MUNOZ,MUNOZ,/img/players-world-cup/Spain/munoz.webp,outfield
Borja IGLESIAS,IGLESIAS,/img/players-world-cup/Spain/iglesias.webp,outfield
