name,display-name,image-url,role
Jacob WIDELL ZETTERSTROM,ZETTERSTROM,/img/players-world-cup/Sweden/zetterstrom.webp,goalkeeper
Viktor JOHANSSON,V. JOHANSSON,/img/players-world-cup/Sweden/v-johansson.webp,goalkeeper
Kristoffer NORDFELDT,NORDFELDT,/img/players-world-cup/Sweden/nordfeldt.webp,goalkeeper
Gustaf LAGERBIELKE,LAGERBIELKE,/img/players-world-cup/Sweden/lagerbielke.webp,outfield
Victor LINDELOF,LINDELOF,/img/players-world-cup/Sweden/lindelof.webp,outfield
Isak HIEN,HIEN,/img/players-world-cup/Sweden/hien.webp,outfield
Gabriel GUDMUNDSSON,GUDMUNDSSON,/img/players-world-cup/Sweden/gudmundsson.webp,outfield
Herman JOHANSSON,H. JOHANSSON,/img/players-world-cup/Sweden/h-johansson.webp,outfield
Daniel SVENSSON,SVENSSON,/img/players-world-cup/Sweden/svensson.webp,outfield
Hjalmar EKDAL,EKDAL,/img/players-world-cup/Sweden/ekdal.webp,outfield
Carl STARFELT,STARFELT,/img/players-world-cup/Sweden/starfelt.webp,outfield
Eric SMITH,SMITH,/img/players-world-cup/Sweden/smith.webp,outfield
Alexander BERNHARDSSON,BERNHARDSSON,/img/players-world-cup/Sweden/bernhardsson.webp,outfield
Elliot STROUD,STROUD,/img/players-world-cup/Sweden/stroud.webp,outfield
Lucas BERGVALL,BERGVALL,/img/players-world-cup/Sweden/bergvall.webp,outfield
Benjamin NYGREN,NYGREN,/img/players-world-cup/Sweden/nygren.webp,outfield
Ken SEMA,SEMA,/img/players-world-cup/Sweden/sema.webp,outfield
Jesper KARLSTROM,KARLSTROM,/img/players-world-cup/Sweden/karlstrom.webp,outfield
Yasin AYARI,AYARI,/img/players-world-cup/Sweden/ayari.webp,outfield
Mattias SVANBERG,SVANBERG,/img/players-world-cup/Sweden/svanberg.webp,outfield
Besfort ZENELI,ZENELI,/img/players-world-cup/Sweden/zeneli.webp,outfield
Alexander ISAK,ISAK,/img/players-world-cup/Sweden/isak.webp,outfield
Anthony ELANGA,ELANGA,/img/players-world-cup/Sweden/elanga.webp,outfield
Viktor GYOKERES,GYOKERES,/img/players-world-cup/Sweden/gyokeres.webp,outfield
Gustaf NILSSON,NILSSON,/img/players-world-cup/Sweden/nilsson.webp,outfield
Taha ALI,ALI,/img/players-world-cup/Sweden/ali.webp,outfield
