name,display-name,image-url,role
Gregor KOBEL,KOBEL,/img/players-world-cup/Switzerland/kobel.webp,goalkeeper
Yvon MVOGO,MVOGO,/img/players-world-cup/Switzerland/mvogo.webp,goalkeeper
Marvin KELLER,KELLER,/img/players-world-cup/Switzerland/keller.webp,goalkeeper
Miro MUHEIM,MUHEIM,/img/players-world-cup/Switzerland/muheim.webp,outfield
Silvan WIDMER,WIDMER,/img/players-world-cup/Switzerland/widmer.webp,outfield
Nico ELVEDI,ELVEDI,/img/players-world-cup/Switzerland/elvedi.webp,outfield
Manuel AKANJI,AKANJI,/img/players-world-cup/Switzerland/akanji.webp,outfield
Ricardo RODRIGUEZ,RODRIGUEZ,/img/players-world-cup/Switzerland/rodriguez.webp,outfield
Eray CÖMERT,CÖMERT,/img/players-world-cup/Switzerland/comert.webp,outfield
Aurele AMENDA,AMENDA,/img/players-world-cup/Switzerland/amenda.webp,outfield
Luca JAQUEZ,JAQUEZ,/img/players-world-cup/Switzerland/jaquez.webp,outfield
Denis ZAKARIA,ZAKARIA,/img/players-world-cup/Switzerland/zakaria.webp,outfield
Remo FREULER,FREULER,/img/players-world-cup/Switzerland/freuler.webp,outfield
Johan MANZAMBI,MANZAMBI,/img/players-world-cup/Switzerland/manzambi.webp,outfield
Granit XHAKA,XHAKA,/img/players-world-cup/Switzerland/xhaka.webp,outfield
Ardon JASHARI,JASHARI,/img/players-world-cup/Switzerland/jashari.webp,outfield
Djibril SOW,SOW,/img/players-world-cup/Switzerland/sow.webp,outfield
Michel AEBISCHER,AEBISCHER,/img/players-world-cup/Switzerland/aebischer.webp,outfield
Fabian RIEDER,RIEDER,/img/players-world-cup/Switzerland/rieder.webp,outfield
Breel EMBOLO,EMBOLO,/img/players-world-cup/Switzerland/embolo.webp,outfield
Dan NDOYE,NDOYE,/img/players-world-cup/Switzerland/ndoye.webp,outfield
Christian FASSNACHT,FASSNACHT,/img/players-world-cup/Switzerland/fassnacht.webp,outfield
Ruben VARGAS,VARGAS,/img/players-world-cup/Switzerland/vargas.webp,outfield
Noah OKAFOR,OKAFOR,/img/players-world-cup/Switzerland/okafor.webp,outfield
Zeki AMDOUNI,AMDOUNI,/img/players-world-cup/Switzerland/amdouni.webp,outfield
Cedric ITTEN,ITTEN,/img/players-world-cup/Switzerland/itten.webp,outfield
