name,display-name,image-url,role
Sergio ROCHET,ROCHET,/img/players-world-cup/Uruguay/rochet.webp,goalkeeper
Santiago MELE,MELE,/img/players-world-cup/Uruguay/mele.webp,goalkeeper
Fernando MUSLERA,MUSLERA,/img/players-world-cup/Uruguay/muslera.webp,goalkeeper
Jose Maria GIMENEZ,GIMENEZ,/img/players-world-cup/Uruguay/gimenez.webp,outfield
Sebastian CACERES,CACERES,/img/players-world-cup/Uruguay/caceres.webp,outfield
Ronald ARAUJO,R. ARAUJO,/img/players-world-cup/Uruguay/r-araujo.webp,outfield
Guillermo VARELA,VARELA,/img/players-world-cup/Uruguay/varela.webp,outfield
Mathias OLIVERA,OLIVERA,/img/players-world-cup/Uruguay/olivera.webp,outfield
Matias VINA,VINA,/img/players-world-cup/Uruguay/vina.webp,outfield
Santiago BUENO,BUENO,/img/players-world-cup/Uruguay/bueno.webp,outfield
Manuel UGARTE,UGARTE,/img/players-world-cup/Uruguay/ugarte.webp,outfield
Rodrigo BENTANCUR,BENTANCUR,/img/players-world-cup/Uruguay/bentancur.webp,outfield
Nicolas DE LA CRUZ,DE LA CRUZ,/img/players-world-cup/Uruguay/de-la-cruz.webp,outfield
Federico VALVERDE,VALVERDE,/img/players-world-cup/Uruguay/valverde.webp,outfield
Giorgian DE ARRASCAETA,ARRASCAETA,/img/players-world-cup/Uruguay/arrascaeta.webp,outfield
Agustin CANOBBIO,CANOBBIO,/img/players-world-cup/Uruguay/canobbio.webp,outfield
Emiliano MARTINEZ,MARTINEZ,/img/players-world-cup/Uruguay/martinez.webp,outfield
Maxi ARAUJO,M. ARAUJO,/img/players-world-cup/Uruguay/m-araujo.webp,outfield
Joaquin PIQUEREZ,PIQUEREZ,/img/players-world-cup/Uruguay/piquerez.webp,outfield
Juan Manuel SANABRIA,SANABRIA,/img/players-world-cup/Uruguay/sanabria.webp,outfield
Rodrigo ZALAZAR,ZALAZAR,/img/players-world-cup/Uruguay/zalazar.webp,outfield
Darwin NUNEZ,NUNEZ,/img/players-world-cup/Uruguay/nunez.webp,outfield
Facundo PELLISTRI,PELLISTRI,/img/players-world-cup/Uruguay/pellistri.webp,outfield
Brian RODRIGUEZ,RODRIGUEZ,/img/players-world-cup/Uruguay/rodriguez.webp,outfield
Rodrigo AGUIRRE,AGUIRRE,/img/players-world-cup/Uruguay/aguirre.webp,outfield
Federico VINAS,VINAS,/img/players-world-cup/Uruguay/vinas.webp,outfield
